identifier,y_sim,y_exp,smiles,fold
CHEMBL602873,-9.7127,0.3162,COc1ccc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cc1-c1c(Br)cnn1C,2
CHEMBL599194,-9.59944,0.3162,CC(C)Oc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,2
CHEMBL598171,-9.63599,0.3162,COc1ccc(NC(=O)Nc2cc(F)cc(F)c2)cc1-c1c(Br)cnn1C,0
CHEMBL602064,-9.62098,0.3162,COc1ccc(NC(=O)Nc2cccc(F)c2)cc1-c1c(Br)cnn1C,0
CHEMBL177416,-10.1066,0.32,Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c2ccccc2F)c(F)c1,4
CHEMBL197663,-12.33373,0.32,CC1CCN(C(C)=O)c2c(CCN3CCN(CC3)c3noc4ccccc34)ccc(C)c12,2
CHEMBL3932186,-9.64299,0.32,Clc1ccc2c(nsc2c1)N1CCN(C[C@H]2CC[C@H](CNC(=O)c3ccco3)CC2)CC1,1
CHEMBL145939,-10.20656,0.33,Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c2ccccc2)c(F)c1,3
CHEMBL565321,-10.60685,0.33,Cn1nccc1-c1cc(NC(=O)Nc2cccc(Cl)c2)ccc1OCCN1CCCCC1,1
CHEMBL252030,-11.25462,0.33,CC(=O)NC1CCc2cc(CCN3CCN(CC3)c3nsc4ccccc34)ccc12,0
CHEMBL3597635,-10.66147,0.33,O=C(NCCCCN1CCN(CC1)c1cccc2ccccc12)c1cnc2ccccc2c1,0
CHEMBL4763085,-12.10103,0.3311,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1,1
CHEMBL3920432,-9.15277,0.34,CCCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,0
CHEMBL496687,-10.93313,0.34,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1cccc2ccccc12,2
